+------------------------+--------------------+--------------------+------------------------+---------------------+
|           Z            |         F          |      F deriv       |           U            |         divF        |
|         0.0099         | 155.9759575634805  | 156.76827947527713 | 2.222250512369991e-06  |  90518.90868021222  |
|          0.01          | 157.5606013890409  | 158.35294043530212 | 2.2222456104846915e-06 |  90520.21475053062  |
|  0.010100000000000001  | 159.14527948359068 | 159.93763584816782 | 2.2222406592982995e-06 |  90521.53393433387  |
|         0.0102         | 160.7299922148338  | 161.5223660747733  | 2.2222356588097377e-06 |  90522.86623123493  |
|         0.0103         | 162.31473993686427 | 163.10713144198795 | 2.2222306090179178e-06 |  90524.21164084635  |
|  0.010400000000000001  |  163.899522949327  | 164.6919322971039  | 2.222225509921742e-06  |   90525.5701627742  |
|         0.0105         | 165.48434164716133 | 166.2767690078359  |  2.2222203615201e-06   |  90526.94179662131  |
|         0.0106         | 167.06919637085755 | 167.86164188064348 | 2.2222151638118715e-06 |  90528.32654198633  |
|  0.010700000000000001  | 168.6540873928441  | 169.44655125602154 | 2.2222099167959273e-06 |  90529.72439846485  |
|         0.0108         | 170.2390151216828  | 171.03149751530776 | 2.2222046204711256e-06 |   90531.1353656476  |
|         0.0109         | 171.82397991148676 | 172.6164809853905  | 2.2221992748363135e-06 |  90532.55944312189  |
|  0.011000000000000001  |  173.40898206192   | 174.2015019931617  | 2.222193879890329e-06  |  90533.99663047263  |
|         0.0111         | 174.99402192710215 | 175.78656088593613 | 2.222188435631999e-06  |  90535.44692727819  |
|         0.0112         | 176.57909984754318 | 177.3716580314515  | 2.2221829420601396e-06 |  90536.91033311532  |
|  0.011300000000000001  | 178.16421621820845 | 178.95679377022267 | 2.222177399173555e-06  |  90538.38684755575  |
|         0.0114         | 179.74937132516257 |  180.541968415542  |  2.22217180697104e-06  |  90539.87647016787  |
|         0.0115         | 181.3345655089255  | 182.12718231473775 | 2.2221661654513793e-06 |  90541.37920051592  |
|  0.011600000000000001  | 182.91979912363396 | 183.71243583556145 | 2.2221604746133464e-06 |  90542.89503815993  |
|         0.0117         |  184.505072550654  | 185.29772932534823 | 2.222154734455703e-06  |  90544.42398265639  |
|         0.0118         | 186.0903861032902  | 186.88306312463064 | 2.2221489449772007e-06 |  90545.96603355899  |
|         0.0119         | 187.67574014930278 | 188.46843756033144 | 2.2221431061765803e-06 |  90547.52119041703  |
|         0.012          | 189.26113497477724 | 190.0538529934096  | 2.222137218052573e-06  |  90549.08945277536  |
|  0.012100000000000001  | 190.84657101554612 | 191.63930977121498 | 2.2221312806038975e-06 |  90550.67082017375  |
|         0.0122         | 192.4320485304763  | 193.22480821387467 | 2.222125293829263e-06  |  90552.26529215174  |
|         0.0123         | 194.01756790095538 | 194.81034868235884 | 2.222119257727368e-06  |  90553.87286824167  |
|  0.012400000000000001  | 195.60312946753592 | 196.3959315308347  |  2.2221131722969e-06   |  90555.49354797362  |
|         0.0125         | 197.18873359799997 | 197.9815570930536  | 2.222107037536535e-06  |  90557.12733087444  |
|         0.0126         | 198.77438059206816 | 199.56722570277086 |  2.22210085344494e-06  |  90558.77421646456  |
|  0.012700000000000001  | 200.36007081753036 | 201.1529377073586  |  2.22209462002077e-06  |   90560.4342042628  |
|         0.0128         | 201.94580460134102 | 202.73869345419277 | 2.2220883372626702e-06 |  90562.10729378421  |
|         0.0129         | 203.53158231129757 | 204.3244932974595  | 2.2220820051692746e-06 |   90563.7934845386  |
|  0.013000000000000001  | 205.11740428797512 | 205.91033757773613 | 2.222075623739206e-06  |  90565.49277603283  |
